Name|Meaning|link
Shanaya |  Eminent, Illustrious, Famous, Distinguished, Esteemedeminent, Born On Saturday, First Ray Of The Sun | https://parenting.firstcry.com/articles/name-meaning/shanaya/
Nivanshi |  Cute Little Baby That Will Be Sweet | https://parenting.firstcry.com/articles/name-meaning/nivanshi/
Riya |  Gem, Jewel, Bijou, Graceful, Elegant, Fashionable, Singer, Vocalist, Chanteuserich Or From Hadria, Goddess Lakshmi, A Female Singer Of Great GraceSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/riya/
Radhika |  Successful, Victorious, Fortunate, Wealthy, Rich, Silk | https://parenting.firstcry.com/articles/name-meaning/radhika/
Vanshika |  Flute | https://parenting.firstcry.com/articles/name-meaning/vanshika/
Manushri |  Goddess Lakshmi, Consort Of Manu (Vishnu), Shri  | https://parenting.firstcry.com/articles/name-meaning/manushri/
Ipshita |  Desired, Required, Appropriategoddess Lakshmi | https://parenting.firstcry.com/articles/name-meaning/ipshita/
Ashree |  One Of The Names Of Goddess Durga | https://parenting.firstcry.com/articles/name-meaning/ashree/
Ashvitha |  Strong, Powerful, Stalwartstrong | https://parenting.firstcry.com/articles/name-meaning/ashvitha/
Saanavi |  Sanvi Or Goddess Lakshmi | https://parenting.firstcry.com/articles/name-meaning/saanavi/
Advika |  World, Earth, Planet, Land, Unique, Distinctive, Singleworld, A Unique Girl, No Copy Or DualitySimilar Names: | https://parenting.firstcry.com/articles/name-meaning/advika/
Prathiksha |  Hope, Aspiration, Longinghope, Waiting For Something | https://parenting.firstcry.com/articles/name-meaning/prathiksha/
Aabha |  Glow, Shine, Gleam, Luster, Sheen, Brilliance, Emit Light, Glisterglow, Splendour, Light, Bright And Radiant, GloriousSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aabha/
Greeshma |  Warmth, Heat, Cosinesswarmth, Kind Of Season, Hot And Windy Season, A Variant Spelling Is GrishmaSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/greeshma/
Shreyanvi |  Goddess Lakshmi, Goddess Durga | https://parenting.firstcry.com/articles/name-meaning/shreyanvi/
Lohitha |  Red, Scarlet, Flame, Ruby, Saffron, Goddess Lakshmi In The Form Of Iron, Copper, One Of Many Names Of Goddess LakshmiSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/lohitha/
Aashi |  Smile, Grin, Be All Smiles, Joy, Delight, Enjoyment, Laughter, Laughing, Hystericssmile, Blessing, Cheerful, Delighted And HappySimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aashi/
Aishaanya |  Beautiful Life | https://parenting.firstcry.com/articles/name-meaning/aishaanya/
Srinidhi |  Treasure Of Prosperity, Goddess Lakshmi | https://parenting.firstcry.com/articles/name-meaning/srinidhi/
Yeshasvi |  Goddess Lakshmi, Successful Lady | https://parenting.firstcry.com/articles/name-meaning/yeshasvi/
Aadhrika |  Mountain Or Celestial | https://parenting.firstcry.com/articles/name-meaning/aadhrika/
Thanyasri |  Na | https://parenting.firstcry.com/articles/name-meaning/thanyasri/
Bhoomika |  Earth, World, Land, Base, Foundation, Basis, Introduction, Institution, Startearth, Goddess Earth, Lord Of EarthSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/bhoomika/
Divi |  Glorious, Illustrious, Immortalvery Bright, Sun Like Glow, One Who Is From The HeavenSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/divi/
Aarika |  The One Who Is Admired For Her LooksSimilar Names: | https://parenting.firstcry.com/articles/name-meaning/aarika/
